control_id,risk_id,period,description,score,key
C040,R001,2025H2,人工抽查报销单据,2,是
C041,R002,2025H2,手工收入核对表,2,是
C042,R003,2025H2,纸质审批单流转,2,是
C043,R004,2025H2,供应商资质人工审查,2,是
C044,R005,2025H2,法务事后补审,2,是
C045,R006,2025H2,单人签字验收,2,是
C046,R007,2025H2,变更口头审批,2,是
C047,R008,2025H2,安全例会宣贯,2,是
C048,R009,2025H2,结算资料催办,2,是
C049,R010,2025H2,年度一次权限梳理,2,是
C050,R011,2025H2,本地磁带备份,2,是
C051,R012,2025H2,边界防火墙防护,2,是
C052,R013,2025H2,外部招聘渠道补充,3,是
C053,R014,2025H2,入职登记表自查,2,是
C054,R015,2025H2,年度全面盘点,2,是
C055,R016,2025H2,闲置设备台账登记,2,是
C056,R017,2025H2,投资决策口头意见居多,2,是
C057,R018,2025H2,决策事项事后补记,2,是
C058,R019,2025H2,申报数据人工复核,2,是
C059,R020,2025H2,合同纸质台账,2,是
C060,R021,2025H2,外包商资质一次性审查,2,是
C061,R022,2025H2,隐私政策公示,2,是
C062,R023,2025H2,人工填报排放数据,2,是
C063,R024,2025H2,账户手工登记簿,2,是
